timestamp,voc1,no2,eth,co,tag
30486,3.46,2.83,3.7,3.8,garlic
30736,3.46,2.83,3.7,3.8,garlic
30986,3.47,2.83,3.7,3.81,garlic
31236,3.48,2.84,3.7,3.81,garlic
31486,3.48,2.83,3.71,3.81,garlic
31736,3.48,2.83,3.72,3.82,garlic
31986,3.49,2.83,3.72,3.82,garlic
32236,3.49,2.83,3.72,3.82,garlic
32486,3.49,2.83,3.73,3.82,garlic
32736,3.5,2.83,3.73,3.82,garlic
32986,3.5,2.83,3.74,3.83,garlic
33236,3.51,2.83,3.74,3.82,garlic
33486,3.51,2.83,3.74,3.83,garlic
33736,3.52,2.83,3.75,3.83,garlic
33986,3.52,2.83,3.75,3.83,garlic
34236,3.52,2.83,3.75,3.83,garlic
34486,3.52,2.83,3.76,3.83,garlic
34736,3.53,2.83,3.76,3.83,garlic
34986,3.53,2.83,3.77,3.83,garlic
35236,3.54,2.83,3.77,3.83,garlic
35486,3.55,2.83,3.77,3.83,garlic
35736,3.55,2.83,3.77,3.83,garlic
35986,3.55,2.83,3.78,3.84,garlic
36236,3.55,2.83,3.78,3.84,garlic
36486,3.56,2.83,3.78,3.84,garlic
36736,3.56,2.83,3.78,3.84,garlic
36986,3.56,2.83,3.79,3.84,garlic
37236,3.56,2.83,3.79,3.84,garlic
37486,3.57,2.83,3.79,3.85,garlic
37736,3.57,2.82,3.79,3.84,garlic
37986,3.57,2.83,3.79,3.85,garlic
38236,3.58,2.83,3.8,3.85,garlic
38486,3.58,2.83,3.8,3.84,garlic
38736,3.58,2.82,3.8,3.85,garlic
38986,3.58,2.82,3.8,3.85,garlic
39236,3.59,2.82,3.81,3.85,garlic
39486,3.59,2.82,3.81,3.85,garlic
39736,3.6,2.83,3.81,3.85,garlic
39986,3.6,2.83,3.81,3.85,garlic
40236,3.6,2.83,3.81,3.85,garlic
40486,3.6,2.83,3.81,3.85,garlic
40736,3.61,2.83,3.82,3.85,garlic
40986,3.61,2.82,3.82,3.85,garlic
41236,3.61,2.82,3.82,3.85,garlic
41486,3.61,2.82,3.82,3.85,garlic
41736,3.61,2.82,3.82,3.86,garlic
41986,3.61,2.82,3.82,3.85,garlic
42236,3.62,2.83,3.82,3.85,garlic
42486,3.62,2.83,3.83,3.86,garlic
42736,3.62,2.82,3.83,3.86,garlic
42986,3.63,2.82,3.83,3.86,garlic
43236,3.62,2.82,3.83,3.86,garlic
43486,3.63,2.83,3.83,3.86,garlic
43736,3.63,2.83,3.83,3.86,garlic
43986,3.63,2.82,3.84,3.86,garlic
44236,3.63,2.82,3.84,3.86,garlic
44486,3.63,2.82,3.84,3.86,garlic
44736,3.64,2.82,3.84,3.86,garlic
44986,3.64,2.82,3.84,3.86,garlic
45236,3.64,2.82,3.84,3.86,garlic
45486,3.64,2.82,3.84,3.86,garlic
45736,3.64,2.82,3.84,3.86,garlic
45986,3.64,2.82,3.84,3.87,garlic
46236,3.65,2.82,3.85,3.86,garlic
46486,3.65,2.82,3.85,3.86,garlic
46736,3.65,2.82,3.85,3.86,garlic
46986,3.65,2.82,3.85,3.87,garlic
47236,3.65,2.82,3.85,3.87,garlic
47486,3.65,2.82,3.85,3.87,garlic
47736,3.66,2.82,3.85,3.87,garlic
47986,3.66,2.82,3.86,3.87,garlic
48236,3.66,2.82,3.85,3.87,garlic
48486,3.66,2.82,3.86,3.87,garlic
48736,3.66,2.82,3.86,3.87,garlic
48986,3.66,2.82,3.86,3.87,garlic
49236,3.66,2.82,3.86,3.87,garlic
49486,3.67,2.82,3.86,3.87,garlic
49736,3.66,2.82,3.86,3.87,garlic
49986,3.67,2.82,3.86,3.87,garlic
50236,3.67,2.82,3.86,3.87,garlic
50486,3.67,2.82,3.86,3.87,garlic
50736,3.67,2.82,3.87,3.87,garlic
50986,3.67,2.82,3.87,3.87,garlic
51236,3.68,2.82,3.87,3.87,garlic
51486,3.68,2.82,3.86,3.87,garlic
51736,3.68,2.82,3.87,3.87,garlic
51986,3.68,2.82,3.87,3.87,garlic
52236,3.68,2.82,3.87,3.87,garlic
52486,3.68,2.82,3.87,3.87,garlic
52736,3.68,2.82,3.87,3.87,garlic
52986,3.68,2.82,3.87,3.87,garlic
53236,3.68,2.82,3.87,3.87,garlic
53486,3.68,2.82,3.87,3.87,garlic
53736,3.68,2.82,3.88,3.87,garlic
53986,3.69,2.82,3.88,3.87,garlic
54236,3.69,2.81,3.87,3.87,garlic
54486,3.69,2.82,3.88,3.87,garlic
54736,3.69,2.82,3.88,3.87,garlic
54986,3.69,2.82,3.88,3.88,garlic
55236,3.69,2.82,3.88,3.87,garlic
55486,3.69,2.82,3.88,3.87,garlic
55736,3.69,2.82,3.88,3.87,garlic
55986,3.69,2.81,3.88,3.88,garlic
56236,3.69,2.82,3.88,3.88,garlic
56486,3.69,2.82,3.88,3.88,garlic
56736,3.7,2.82,3.88,3.88,garlic
56986,3.7,2.81,3.89,3.88,garlic
57236,3.69,2.82,3.89,3.88,garlic
57486,3.7,2.82,3.89,3.88,garlic
57736,3.7,2.81,3.89,3.88,garlic
57986,3.7,2.82,3.89,3.88,garlic
58236,3.7,2.81,3.89,3.88,garlic
58486,3.7,2.82,3.89,3.88,garlic
58736,3.7,2.82,3.89,3.88,garlic
58986,3.7,2.81,3.89,3.88,garlic
59236,3.7,2.82,3.89,3.88,garlic
59486,3.7,2.81,3.89,3.88,garlic
59736,3.7,2.82,3.89,3.88,garlic
59986,3.71,2.81,3.89,3.88,garlic
60236,3.71,2.82,3.89,3.88,garlic
60486,3.7,2.81,3.89,3.88,garlic
60736,3.7,2.81,3.89,3.88,garlic
60986,3.71,2.82,3.89,3.88,garlic
61236,3.71,2.81,3.89,3.88,garlic
61486,3.71,2.81,3.89,3.88,garlic
61736,3.71,2.81,3.89,3.88,garlic
61986,3.71,2.82,3.89,3.88,garlic
62236,3.71,2.81,3.9,3.88,garlic
62486,3.71,2.81,3.9,3.88,garlic
62736,3.71,2.82,3.89,3.89,garlic
62986,3.71,2.81,3.9,3.88,garlic
63236,3.71,2.81,3.89,3.88,garlic
63486,3.72,2.81,3.9,3.89,garlic
63736,3.71,2.81,3.9,3.88,garlic
63986,3.71,2.82,3.9,3.89,garlic
64236,3.72,2.81,3.9,3.89,garlic
64486,3.72,2.82,3.9,3.89,garlic
64736,3.72,2.81,3.9,3.88,garlic
64986,3.71,2.82,3.9,3.89,garlic
65236,3.72,2.81,3.9,3.89,garlic
65486,3.72,2.82,3.9,3.89,garlic
65736,3.72,2.81,3.9,3.89,garlic
65986,3.72,2.81,3.9,3.89,garlic
66236,3.72,2.82,3.91,3.89,garlic
66486,3.72,2.81,3.91,3.89,garlic
66736,3.72,2.81,3.91,3.89,garlic
66986,3.72,2.81,3.9,3.89,garlic
67236,3.72,2.82,3.91,3.89,garlic
67486,3.73,2.81,3.91,3.89,garlic
67736,3.73,2.82,3.91,3.89,garlic
67986,3.73,2.81,3.91,3.89,garlic
68236,3.72,2.81,3.91,3.89,garlic
68486,3.73,2.81,3.91,3.89,garlic
68736,3.73,2.81,3.91,3.89,garlic
68986,3.73,2.82,3.91,3.89,garlic
69236,3.73,2.81,3.91,3.89,garlic
69486,3.73,2.81,3.91,3.89,garlic
69736,3.73,2.81,3.91,3.89,garlic
69986,3.73,2.81,3.91,3.89,garlic
70236,3.74,2.81,3.91,3.89,garlic
70486,3.74,2.81,3.91,3.89,garlic
70736,3.74,2.81,3.91,3.89,garlic
70986,3.74,2.81,3.91,3.89,garlic
71236,3.74,2.82,3.91,3.89,garlic
71486,3.74,2.81,3.91,3.89,garlic
71736,3.74,2.81,3.91,3.89,garlic
71986,3.74,2.81,3.91,3.89,garlic
72236,3.74,2.82,3.91,3.89,garlic
72486,3.74,2.81,3.91,3.89,garlic
72736,3.74,2.81,3.92,3.89,garlic
72986,3.74,2.81,3.92,3.89,garlic
73236,3.74,2.82,3.92,3.89,garlic
73486,3.75,2.81,3.92,3.9,garlic
73736,3.74,2.82,3.91,3.89,garlic
73986,3.74,2.81,3.92,3.9,garlic
74236,3.75,2.81,3.92,3.9,garlic
74486,3.75,2.81,3.92,3.9,garlic
74736,3.75,2.81,3.91,3.89,garlic
74986,3.75,2.82,3.92,3.89,garlic
75236,3.75,2.82,3.92,3.9,garlic
75486,3.75,2.81,3.92,3.9,garlic
75736,3.75,2.81,3.92,3.89,garlic
75986,3.75,2.81,3.92,3.9,garlic
76236,3.75,2.81,3.92,3.9,garlic
76486,3.75,2.82,3.92,3.9,garlic
76736,3.75,2.81,3.92,3.9,garlic
76986,3.75,2.81,3.92,3.9,garlic
77236,3.76,2.82,3.92,3.9,garlic
77486,3.76,2.82,3.92,3.89,garlic
77736,3.75,2.82,3.92,3.9,garlic
77986,3.76,2.82,3.93,3.9,garlic
78236,3.76,2.82,3.93,3.9,garlic
78486,3.76,2.81,3.93,3.9,garlic
78736,3.76,2.81,3.93,3.9,garlic
78986,3.76,2.82,3.93,3.9,garlic
79236,3.76,2.82,3.93,3.9,garlic
79486,3.76,2.82,3.92,3.89,garlic
79736,3.76,2.82,3.93,3.9,garlic
79986,3.76,2.82,3.93,3.9,garlic
80236,3.76,2.82,3.93,3.9,garlic
80486,3.76,2.82,3.93,3.9,garlic
80736,3.76,2.82,3.93,3.9,garlic
80986,3.77,2.81,3.93,3.9,garlic
81236,3.77,2.82,3.93,3.9,garlic
81486,3.77,2.82,3.93,3.9,garlic
81736,3.77,2.82,3.93,3.9,garlic
81986,3.77,2.82,3.93,3.9,garlic
82236,3.77,2.82,3.93,3.9,garlic
82486,3.77,2.82,3.94,3.9,garlic
82736,3.77,2.82,3.93,3.9,garlic
82986,3.77,2.82,3.93,3.9,garlic
83236,3.77,2.82,3.94,3.9,garlic
83486,3.77,2.82,3.94,3.9,garlic
83736,3.78,2.82,3.94,3.9,garlic
83986,3.77,2.82,3.94,3.9,garlic
84236,3.77,2.82,3.94,3.9,garlic
84486,3.77,2.82,3.94,3.91,garlic
84736,3.78,2.81,3.94,3.9,garlic
84986,3.77,2.82,3.94,3.9,garlic
85236,3.77,2.82,3.94,3.9,garlic
85486,3.78,2.82,3.94,3.9,garlic
85736,3.78,2.82,3.94,3.9,garlic
85986,3.78,2.82,3.94,3.91,garlic
86236,3.78,2.82,3.94,3.9,garlic
86486,3.78,2.82,3.94,3.9,garlic
86736,3.78,2.82,3.94,3.9,garlic
86986,3.78,2.82,3.94,3.9,garlic
87236,3.78,2.82,3.94,3.9,garlic
87486,3.78,2.82,3.94,3.91,garlic
87736,3.78,2.82,3.94,3.91,garlic
87986,3.78,2.82,3.94,3.9,garlic
88236,3.79,2.82,3.95,3.9,garlic
88486,3.78,2.82,3.94,3.91,garlic
88736,3.78,2.82,3.94,3.91,garlic
88986,3.79,2.82,3.94,3.91,garlic
89236,3.79,2.82,3.95,3.91,garlic
89486,3.79,2.82,3.94,3.91,garlic
89736,3.79,2.82,3.94,3.91,garlic
89986,3.79,2.82,3.95,3.91,garlic
90236,3.79,2.82,3.95,3.91,garlic
90486,3.79,2.82,3.95,3.91,garlic
90736,3.79,2.82,3.95,3.91,garlic
90986,3.79,2.82,3.95,3.91,garlic
91236,3.79,2.82,3.95,3.91,garlic
91486,3.79,2.82,3.95,3.91,garlic
91736,3.79,2.82,3.95,3.91,garlic
91986,3.8,2.82,3.95,3.91,garlic
92236,3.8,2.82,3.95,3.91,garlic
92486,3.8,2.82,3.95,3.91,garlic
92736,3.8,2.82,3.95,3.91,garlic
92986,3.8,2.82,3.95,3.91,garlic
93236,3.79,2.83,3.95,3.91,garlic
93486,3.79,2.82,3.95,3.91,garlic
93736,3.8,2.82,3.95,3.91,garlic
93986,3.8,2.82,3.95,3.91,garlic
94236,3.8,2.82,3.95,3.91,garlic
94486,3.8,2.82,3.95,3.91,garlic
94736,3.8,2.82,3.95,3.91,garlic
94986,3.8,2.82,3.95,3.91,garlic
95236,3.8,2.82,3.95,3.91,garlic
95486,3.8,2.82,3.95,3.91,garlic
95736,3.8,2.82,3.95,3.91,garlic
95986,3.81,2.82,3.96,3.91,garlic
96236,3.8,2.82,3.95,3.91,garlic
96486,3.8,2.82,3.95,3.91,garlic
96736,3.8,2.82,3.96,3.91,garlic
96986,3.8,2.82,3.96,3.91,garlic
97236,3.81,2.82,3.96,3.91,garlic
97486,3.81,2.82,3.95,3.91,garlic
97736,3.81,2.82,3.96,3.91,garlic
97986,3.81,2.82,3.96,3.91,garlic
98236,3.8,2.82,3.96,3.91,garlic
98486,3.81,2.82,3.96,3.91,garlic
98736,3.81,2.82,3.96,3.91,garlic
98986,3.81,2.82,3.96,3.91,garlic
99236,3.81,2.82,3.96,3.91,garlic
99486,3.81,2.82,3.96,3.91,garlic
99736,3.81,2.82,3.96,3.91,garlic
99986,3.81,2.82,3.96,3.91,garlic
100236,3.81,2.82,3.96,3.91,garlic
100486,3.81,2.82,3.97,3.91,garlic
100736,3.81,2.82,3.96,3.91,garlic
100986,3.82,2.82,3.96,3.91,garlic
101236,3.82,2.82,3.96,3.91,garlic
101486,3.82,2.82,3.96,3.91,garlic
101736,3.82,2.82,3.97,3.91,garlic
101986,3.82,2.82,3.97,3.91,garlic
102236,3.82,2.82,3.96,3.91,garlic
102486,3.82,2.82,3.96,3.91,garlic
102736,3.82,2.82,3.96,3.91,garlic
102986,3.82,2.82,3.97,3.91,garlic
103236,3.82,2.83,3.97,3.92,garlic
103486,3.82,2.82,3.97,3.91,garlic
103736,3.82,2.82,3.97,3.91,garlic
103986,3.82,2.82,3.97,3.92,garlic
104236,3.82,2.82,3.97,3.91,garlic
104486,3.82,2.82,3.97,3.92,garlic
104736,3.82,2.82,3.97,3.91,garlic
104986,3.82,2.83,3.97,3.91,garlic
105236,3.83,2.82,3.97,3.92,garlic
105486,3.83,2.82,3.97,3.91,garlic
105736,3.83,2.82,3.97,3.92,garlic
105986,3.83,2.82,3.97,3.91,garlic
106236,3.83,2.82,3.97,3.91,garlic
106486,3.83,2.83,3.97,3.91,garlic
106736,3.83,2.82,3.97,3.91,garlic
106986,3.83,2.82,3.97,3.91,garlic
107236,3.83,2.83,3.97,3.91,garlic
107486,3.83,2.82,3.97,3.91,garlic
107736,3.83,2.83,3.97,3.91,garlic
107986,3.83,2.82,3.97,3.92,garlic
108236,3.83,2.83,3.97,3.92,garlic
108486,3.83,2.82,3.97,3.92,garlic
108736,3.83,2.82,3.97,3.92,garlic
108986,3.83,2.82,3.97,3.91,garlic
109236,3.84,2.82,3.98,3.92,garlic
109486,3.84,2.82,3.98,3.92,garlic
109736,3.84,2.83,3.98,3.91,garlic
109986,3.84,2.83,3.98,3.91,garlic
110236,3.84,2.82,3.98,3.91,garlic
110486,3.84,2.82,3.98,3.92,garlic
110736,3.84,2.83,3.98,3.92,garlic
110986,3.84,2.82,3.98,3.92,garlic
111236,3.84,2.83,3.98,3.92,garlic
111486,3.84,2.83,3.98,3.92,garlic
111736,3.84,2.82,3.98,3.92,garlic
111986,3.84,2.83,3.97,3.92,garlic
112236,3.84,2.82,3.98,3.92,garlic
112486,3.84,2.83,3.98,3.92,garlic
112736,3.85,2.83,3.98,3.92,garlic
112986,3.84,2.83,3.98,3.92,garlic
113236,3.84,2.83,3.98,3.92,garlic
113486,3.85,2.83,3.98,3.91,garlic
113736,3.85,2.82,3.98,3.92,garlic
113986,3.85,2.83,3.98,3.92,garlic
114236,3.85,2.82,3.98,3.92,garlic
114486,3.85,2.83,3.98,3.92,garlic
114736,3.85,2.83,3.98,3.92,garlic
114986,3.85,2.82,3.98,3.92,garlic
115236,3.85,2.83,3.98,3.92,garlic
115486,3.85,2.83,3.98,3.92,garlic
115736,3.85,2.83,3.99,3.92,garlic
115986,3.85,2.83,3.98,3.92,garlic
116236,3.85,2.83,3.98,3.92,garlic
116486,3.85,2.83,3.99,3.92,garlic
116736,3.85,2.83,3.99,3.92,garlic
116986,3.85,2.83,3.99,3.92,garlic
117236,3.85,2.82,3.99,3.92,garlic
117486,3.85,2.83,3.99,3.92,garlic
117736,3.85,2.83,3.99,3.92,garlic
117986,3.85,2.83,3.99,3.92,garlic
118236,3.85,2.83,3.99,3.92,garlic
118486,3.86,2.83,3.99,3.92,garlic
118736,3.86,2.83,3.99,3.92,garlic
118986,3.86,2.83,3.99,3.92,garlic
119236,3.86,2.83,3.99,3.92,garlic
119486,3.86,2.83,3.99,3.92,garlic
119736,3.86,2.83,3.98,3.92,garlic
119986,3.86,2.83,3.99,3.92,garlic
120236,3.86,2.83,3.99,3.92,garlic
120486,3.86,2.83,3.99,3.92,garlic
120736,3.86,2.83,3.99,3.92,garlic
120986,3.86,2.83,3.99,3.92,garlic
121236,3.86,2.83,3.99,3.92,garlic
121486,3.87,2.83,3.99,3.92,garlic
121736,3.86,2.83,3.99,3.92,garlic
121986,3.87,2.83,3.99,3.92,garlic
122236,3.87,2.83,3.99,3.92,garlic
122486,3.87,2.83,3.99,3.92,garlic
122736,3.87,2.83,3.99,3.92,garlic
122986,3.87,2.83,3.99,3.93,garlic
123236,3.87,2.83,3.99,3.92,garlic
123486,3.87,2.83,3.99,3.92,garlic
123736,3.87,2.83,3.99,3.93,garlic
123986,3.87,2.83,3.99,3.92,garlic
124236,3.87,2.83,3.99,3.92,garlic
124486,3.87,2.83,4,3.92,garlic
124736,3.87,2.83,4,3.93,garlic
124986,3.87,2.83,3.99,3.92,garlic
125236,3.88,2.83,3.99,3.93,garlic
125486,3.88,2.83,3.99,3.93,garlic
125736,3.87,2.83,4,3.92,garlic
125986,3.88,2.83,4,3.93,garlic
126236,3.88,2.83,4,3.93,garlic
126486,3.88,2.83,3.99,3.93,garlic
126736,3.88,2.83,4,3.92,garlic
126986,3.88,2.83,4,3.93,garlic
127236,3.88,2.83,4,3.93,garlic
127486,3.88,2.83,4,3.93,garlic
127736,3.88,2.83,4,3.93,garlic
127986,3.88,2.83,4,3.92,garlic
128236,3.88,2.83,4,3.93,garlic
128486,3.88,2.83,4,3.93,garlic
128736,3.88,2.83,3.99,3.93,garlic
128986,3.88,2.83,4,3.93,garlic
129236,3.88,2.83,4,3.93,garlic
129486,3.88,2.83,4,3.93,garlic
129736,3.88,2.83,4,3.93,garlic
129986,3.88,2.83,4,3.93,garlic
130236,3.89,2.83,4,3.93,garlic
130486,3.88,2.83,4,3.93,garlic
130736,3.89,2.83,4,3.93,garlic
130986,3.89,2.83,4,3.93,garlic
131236,3.89,2.83,4,3.93,garlic
131486,3.89,2.83,4,3.93,garlic
131736,3.89,2.83,4,3.93,garlic
131986,3.89,2.83,4,3.93,garlic
132236,3.89,2.83,4,3.92,garlic
132486,3.89,2.83,4,3.93,garlic
132736,3.89,2.83,4,3.93,garlic
132986,3.89,2.83,4.01,3.93,garlic
133236,3.89,2.83,4,3.93,garlic
133486,3.89,2.83,4,3.92,garlic
133736,3.89,2.83,4,3.93,garlic
133986,3.89,2.83,4,3.93,garlic
134236,3.9,2.83,4,3.93,garlic
134486,3.9,2.83,4.01,3.93,garlic
134736,3.89,2.83,4,3.93,garlic
134986,3.9,2.83,4.01,3.93,garlic
135236,3.9,2.83,4.01,3.93,garlic
135486,3.9,2.83,4.01,3.93,garlic
135736,3.9,2.83,4.01,3.93,garlic
135986,3.9,2.83,4.01,3.93,garlic
136236,3.9,2.83,4.01,3.93,garlic
136486,3.9,2.83,4.01,3.93,garlic
136736,3.9,2.83,4.01,3.93,garlic
136986,3.9,2.83,4.01,3.94,garlic
137236,3.9,2.83,4.01,3.93,garlic
137486,3.9,2.83,4.01,3.93,garlic
137736,3.9,2.83,4.01,3.94,garlic
137986,3.9,2.83,4.01,3.93,garlic
138236,3.9,2.83,4.01,3.94,garlic
138486,3.9,2.83,4.01,3.93,garlic
138736,3.9,2.83,4.01,3.93,garlic
138986,3.9,2.83,4.01,3.93,garlic
139236,3.9,2.83,4.01,3.93,garlic
139486,3.91,2.83,4.01,3.93,garlic
139736,3.91,2.83,4.01,3.94,garlic
139986,3.91,2.83,4.02,3.93,garlic
140236,3.91,2.83,4.02,3.93,garlic
140486,3.91,2.83,4.01,3.94,garlic
140736,3.91,2.83,4.02,3.93,garlic
140986,3.91,2.83,4.02,3.94,garlic
141236,3.91,2.83,4.02,3.93,garlic
141486,3.91,2.83,4.01,3.93,garlic
141736,3.91,2.83,4.01,3.94,garlic
141986,3.91,2.83,4.01,3.94,garlic
142236,3.91,2.84,4.02,3.93,garlic
142486,3.91,2.84,4.01,3.94,garlic
142736,3.91,2.83,4.02,3.94,garlic
142986,3.91,2.84,4.02,3.94,garlic
143236,3.91,2.83,4.02,3.94,garlic
143486,3.92,2.84,4.02,3.94,garlic
143736,3.91,2.83,4.02,3.94,garlic
143986,3.91,2.84,4.02,3.94,garlic
144236,3.91,2.84,4.02,3.94,garlic
144486,3.91,2.84,4.02,3.94,garlic
144736,3.91,2.83,4.02,3.94,garlic
144986,3.91,2.84,4.02,3.93,garlic
145236,3.91,2.84,4.02,3.94,garlic
145486,3.92,2.84,4.02,3.94,garlic
145736,3.92,2.84,4.02,3.93,garlic
145986,3.92,2.84,4.02,3.94,garlic
146236,3.91,2.84,4.02,3.94,garlic
146486,3.92,2.84,4.02,3.94,garlic
146736,3.92,2.83,4.03,3.93,garlic
146986,3.92,2.84,4.02,3.94,garlic
147236,3.92,2.84,4.03,3.94,garlic
147486,3.92,2.84,4.03,3.94,garlic
147736,3.92,2.84,4.03,3.94,garlic
147986,3.93,2.84,4.03,3.94,garlic
148236,3.92,2.83,4.03,3.94,garlic
148486,3.92,2.83,4.03,3.94,garlic
148736,3.92,2.83,4.03,3.94,garlic
148986,3.92,2.84,4.03,3.94,garlic
149236,3.92,2.84,4.03,3.94,garlic
149486,3.93,2.84,4.03,3.94,garlic
149736,3.92,2.84,4.03,3.94,garlic
149986,3.93,2.84,4.03,3.94,garlic
150236,3.93,2.84,4.03,3.95,garlic
150486,3.93,2.84,4.03,3.94,garlic
150736,3.93,2.84,4.03,3.94,garlic
150986,3.93,2.84,4.04,3.94,garlic
151236,3.93,2.84,4.03,3.94,garlic
151486,3.93,2.84,4.03,3.94,garlic
151736,3.93,2.84,4.04,3.94,garlic
151986,3.93,2.84,4.04,3.94,garlic
152236,3.93,2.84,4.04,3.94,garlic
152486,3.93,2.84,4.03,3.94,garlic
152736,3.93,2.84,4.04,3.94,garlic
152986,3.93,2.84,4.04,3.94,garlic
153236,3.93,2.84,4.04,3.94,garlic
153486,3.93,2.84,4.04,3.94,garlic
153736,3.93,2.84,4.03,3.94,garlic
153986,3.94,2.84,4.03,3.94,garlic
154236,3.93,2.84,4.04,3.94,garlic
154486,3.93,2.84,4.04,3.94,garlic
